county,name_short,neighbours,fa_region,skl_code,muni_group,name_long
Uppsala län,Heby,"Tierps kommun,Uppsala kommun,Enköpings kommun,Sala kommun,Gävle kommun,Sandvikens kommun,Avesta kommun",Oskarshamn,0331,Varuproducerande kommuner,Heby kommun
Kalmar län,Nybro,"Emmaboda kommun,Lessebo kommun,Uppvidinge kommun,Kalmar kommun,Mönsterås kommun,Högsby kommun",Trollhättan,0881,Större städer,Nybro kommun
Örebro län,Laxå,"Lekebergs kommun,Töreboda kommun,Karlsborgs kommun,Kristinehamns kommun,Gullspångs kommun,Degerfors kommun,Hallsbergs kommun,Askersunds kommun",Kristianstad,1860,Större städer,Laxå kommun
Värmlands län,Filipstad,"Karlstads kommun,Storfors kommun,Ludvika kommun,Hällefors kommun,Malung-Sälens kommun,Vansbro kommun,Hagfors kommun",Östergötland,1782,Kommuner i tätbefolkad region,Filipstads kommun
Örebro län,Hallsberg,"Finspångs kommun,Motala kommun,Lekebergs kommun,Laxå kommun,Kumla kommun,Örebro kommun,Askersunds kommun",Växjö,1861,Större städer,Hallsbergs kommun
Dalarnas län,Gagnef,"Ludvika kommun,Leksands kommun,Vansbro kommun,Falu kommun,Borlänge kommun",Jönköping,2026,Förortskommuner till större städer,Gagnefs kommun
Skåne län,Skurup,"Trelleborgs kommun,Lunds kommun,Svedala kommun,Ystads kommun,Sjöbo kommun",Fagersta,1264,Pendlingskommuner,Skurups kommun
Örebro län,Karlskoga,"Lekebergs kommun,Storfors kommun,Kristinehamns kommun,Degerfors kommun,Nora kommun,Hällefors kommun,Örebro kommun",Malmö,1883,Förortskommuner till större städer,Karlskoga kommun
Västmanlands län,Kungsör,"Eskilstuna kommun,Köpings kommun,Arboga kommun",Kristianstad,1960,Större städer,Kungsörs kommun
Jönköpings län,Mullsjö,"Ulricehamns kommun,Falköpings kommun,Tidaholms kommun,Habo kommun,Jönköpings kommun",Göteborg,0642,Varuproducerande kommuner,Mullsjö kommun
Södermanlands län,Trosa,"Södertälje kommun,Gnesta kommun,Nyköpings kommun",Östersund,0488,Turism- och besöksnäringskommuner,Trosa kommun
Hallands län,Falkenberg,"Svenljunga kommun,Markaryds kommun,Varbergs kommun,Hylte kommun,Halmstads kommun,Gislaveds kommun",Östergötland,1382,Större städer,Falkenbergs kommun
Jönköpings län,Vaggeryd,"Nässjö kommun,Sävsjö kommun,Värnamo kommun,Gnosjö kommun,Gislaveds kommun,Jönköpings kommun",Storuman,0665,Turism- och besöksnäringskommuner,Vaggeryds kommun
Stockholms län,Norrtälje,"Östhammars kommun,Vallentuna kommun,Knivsta kommun,Sigtuna kommun,Uppsala kommun,Österåkers kommun",Strömstad,0188,Turism- och besöksnäringskommuner,Norrtälje kommun
Västmanlands län,Sala,"Heby kommun,Enköpings kommun,Norbergs kommun,Fagersta kommun,Surahammars kommun,Västerås stad,Sandvikens kommun,Avesta kommun",Hällefors,1981,Kommuner i tätbefolkad region,Sala kommun
Norrbottens län,Älvsbyn,"Arvidsjaurs kommun,Piteå kommun,Luleå kommun,Bodens kommun,Jokkmokks kommun",Stockholm,2560,Förortskommuner till storstäderna,Älvsbyns kommun
Värmlands län,Årjäng,"Säffle kommun,Åmåls kommun,Bengtsfors kommun,Dals-Eds kommun,Arvika kommun,Eda kommun",Stockholm,1765,Förortskommuner till storstäderna,Årjängs kommun
