county,name_short,neighbours,fa_region,skl_code,muni_group,name_long
Uppsala län,Heby,"Tierp,Uppsala,Enköping,Sala,Gävle,Sandviken,Avesta",Oskarshamn,0331,Varuproducerande kommuner,Heby kommun
Kalmar län,Nybro,"Emmaboda,Lessebo,Uppvidinge,Kalmar,Mönsterås,Högsby",Trollhättan,0881,Större städer,Nybro kommun
Örebro län,Laxå,"Lekeberg,Töreboda,Karlsborg,Kristinehamn,Gullspång,Degerfors,Hallsberg,Askersund",Kristianstad,1860,Större städer,Laxå kommun
Värmlands län,Filipstad,"Karlstad,Storfors,Ludvika,Hällefors,Malung-Sälen,Vansbro,Hagfors",Östergötland,1782,Kommuner i tätbefolkad region,Filipstads kommun
Örebro län,Hallsberg,"Finspång,Motala,Lekeberg,Laxå,Kumla,Örebro,Askersund",Växjö,1861,Större städer,Hallsbergs kommun
Dalarnas län,Gagnef,"Ludvika,Leksand,Vansbro,Falun,Borlänge",Jönköping,2026,Förortskommuner till större städer,Gagnefs kommun
Skåne län,Skurup,"Trelleborg,Lund,Svedala,Ystad,Sjöbo",Fagersta,1264,Pendlingskommuner,Skurups kommun
Örebro län,Karlskoga,"Lekeberg,Storfors,Kristinehamn,Degerfors,Nora,Hällefors,Örebro",Malmö,1883,Förortskommuner till större städer,Karlskoga kommun
Västmanlands län,Kungsör,"Eskilstuna,Köping,Arboga",Kristianstad,1960,Större städer,Kungsörs kommun
Jönköpings län,Mullsjö,"Ulricehamn,Falköping,Tidaholm,Habo,Jönköping",Göteborg,0642,Varuproducerande kommuner,Mullsjö kommun
Södermanlands län,Trosa,"Södertälje,Gnesta,Nyköping",Östersund,0488,Turism- och besöksnäringskommuner,Trosa kommun
Hallands län,Falkenberg,"Svenljunga,Mark,Varberg,Hylte,Halmstad,Gislaved",Östergötland,1382,Större städer,Falkenbergs kommun
Jönköpings län,Vaggeryd,"Nässjö,Sävsjö,Värnamo,Gnosjö,Gislaved,Jönköping",Storuman,0665,Turism- och besöksnäringskommuner,Vaggeryds kommun
Stockholms län,Norrtälje,"Östhammar,Vallentuna,Knivsta,Sigtuna,Uppsala,Österåker",Strömstad,0188,Turism- och besöksnäringskommuner,Norrtälje kommun
Västmanlands län,Sala,"Heby,Enköping,Norberg,Fagersta,Surahammar,Västerås,Sandviken,Avesta",Hällefors,1981,Kommuner i tätbefolkad region,Sala kommun
Norrbottens län,Älvsbyn,"Arvidsjaur,Piteå,Luleå,Boden,Jokkmokk",Stockholm,2560,Förortskommuner till storstäderna,Älvsbyns kommun
Värmlands län,Årjäng,"Säffle,Åmål,Bengtsfors,Dals-Ed,Arvika,Eda",Stockholm,1765,Förortskommuner till storstäderna,Årjängs kommun
Västerbottens län,Umeå,"Vindeln,Nordmaling,Skellefteå,Robertsfors,Vännäs",Umeå,2480,Glesbygdkommuner,Umeå kommun
Västmanlands län,Västerås,"Enköping,Köping,Sala,Surahammar,Hallstahammar",Jokkmokk,1980,Turism- och besöksnäringskommuner,Västerås stad
Kalmar län,Mörbylånga,Borgholm,Göteborg,0840,Kommuner i tätbefolkad region,Mörbylånga kommun
Västmanlands län,Arboga,"Kungsör,Eskilstuna,Lindesberg,Örebro,Köping",Stockholm,1984,Förortskommuner till storstäderna,Arboga kommun
